OTU_ID,SuperKingdom,Phylum,Class,Order,Family,Genus,Species
OTU1408,Eukaryota,,,,,,
OTU1409,Eukaryota,,,,,,
OTU141,Eukaryota,,,,,,
OTU1410,Eukaryota,,,,,,
OTU1411,Eukaryota,,,,,,
OTU1412,Eukaryota,,,,,,
OTU1413,Eukaryota,,,,,,
OTU1414,Eukaryota,,,,,,
OTU1415,Eukaryota,Arthropoda,,,,,
OTU1416,Eukaryota,,,,,,
OTU1417,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Wrangeliaceae,Lophothamnion,Lophothamnion comatum
OTU1418,Eukaryota,,,,,,
OTU1419,Eukaryota,,,,,,
OTU142,Eukaryota,,,,,,
OTU1420,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
OTU1421,Eukaryota,,,,,,
OTU1422,Eukaryota,Arthropoda,,,,,
OTU1423,Eukaryota,,,,,,
OTU1424,Eukaryota,,,,,,
OTU1425,Eukaryota,,,,,,
OTU1426,Eukaryota,,,,,,
OTU1427,Eukaryota,,,,,,
OTU1428,Eukaryota,,,,,,
OTU1429,Eukaryota,,,,,,
OTU143,Eukaryota,Bacillariophyta,Mediophyceae,,,,
OTU1430,Eukaryota,,,,,,
OTU1431,Eukaryota,,,,,,
OTU1432,Eukaryota,,,,,,
OTU1433,Eukaryota,,,,,,
OTU1434,Eukaryota,,,,,,
OTU1435,Eukaryota,,,,,,
OTU1436,Eukaryota,,,,,,
OTU1437,Eukaryota,,,,,,
OTU1438,Eukaryota,,,,,,
OTU1439,Eukaryota,Oomycota,,,,,
OTU144,Eukaryota,,,,,,
OTU1440,Eukaryota,,,,,,
OTU1441,Eukaryota,,,,,,
OTU1442,Eukaryota,,,,,,
OTU1443,Eukaryota,,,,,,
OTU1444,Eukaryota,,,,,,
OTU1445,Eukaryota,,,,,,
OTU1446,Eukaryota,,,,,,
OTU1447,Eukaryota,,,,,,
OTU1448,Eukaryota,,,,,,
OTU1449,Eukaryota,,,,,,
OTU145,Eukaryota,,,,,,
OTU1450,Eukaryota,,,,,,
OTU1451,Eukaryota,,,,,,
OTU1452,Eukaryota,,,,,,
OTU1453,Eukaryota,,,,,,
OTU1454,Eukaryota,,,,,,
OTU1455,Eukaryota,,,,,,
OTU1456,Eukaryota,Oomycota,,,,,
OTU1457,Eukaryota,,,,,,
OTU1458,Eukaryota,,,,,,
